"","PROBEID","t","p","p_adj","SYMBOL"
"5752","210107_at",-12.4002320149313,2.00057817808838e-23,3.39678168857626e-19,"CLCA1"
"12803","227226_at",-12.4435884734213,2.0141525350181e-23,3.41942675870023e-19,"MRAP2"
"4647","207214_at",-12.4581365755354,2.72397682646953e-22,4.59671089466734e-18,"SPINK4"
"6292","211715_s_at",-12.6968784410084,5.85815012702573e-24,9.97350059126131e-20,"BDH1"
"7520","214106_s_at",-12.7099350817513,1.05010560331719e-21,1.76648764590018e-17,"GMDS"
"15227","234008_s_at",-12.7495688422196,1.10213964399002e-24,1.88223408400615e-20,"CES3"
"3476","204673_at",-13.4209215959695,1.18616802194116e-24,2.02538189746452e-20,"MUC2"
"13092","227725_at",-13.5179411991607,1.69888721989254e-23,2.88572983170947e-19,"ST6GALNAC1"
"9753","220622_at",-13.9038137242804,1.668467409018e-27,2.8826111425604e-23,"LRRC31"
"2585","203240_at",-15.2434539451964,3.18519360175655e-28,5.5148442020813e-24,"FCGBP"
